State,Year,Legalization,Deaths,Population,Crude Rate,Prescriptions Dispensed by US Retailers in that year (millions)
Washington,2009,YES,737,6667426,11.1,202
Washington,2010,YES,648,6724540,9.6,210
Washington,2011,YES,712,6830038,10.4,219
Washington,2012,YES,717,6897012,10.4,217
Washington,2013,YES,667,6971406,9.6,207
Washington,2014,YES,692,7061530,9.8,196
West Virginia,1999,NO,34,1811799,1.9,116
West Virginia,2000,NO,52,1808344,2.9,126
West Virginia,2001,NO,150,1801481,8.3,138
West Virginia,2002,NO,183,1805414,10.1,142
West Virginia,2003,NO,203,1812295,11.2,149
West Virginia,2004,NO,273,1816438,15,155
West Virginia,2005,NO,154,1820492,8.5,163
West Virginia,2006,NO,299,1827912,16.4,174
West Virginia,2007,NO,347,1834052,18.9,184
West Virginia,2008,NO,387,1840310,21,196
West Virginia,2009,NO,193,1847775,10.4,202
West Virginia,2010,NO,495,1852994,26.7,210
West Virginia,2011,NO,596,1855364,32.1,219
West Virginia,2012,NO,513,1855413,27.6,217
West Virginia,2013,NO,518,1854304,27.9,207
West Virginia,2014,NO,585,1850326,31.6,196
Wisconsin,1999,NO,85,5332666,1.6,116
Wisconsin,2000,NO,117,5363675,2.2,126
Wisconsin,2001,NO,143,5406835,2.6,138
Wisconsin,2002,NO,173,5445162,3.2,142
Wisconsin,2003,NO,203,5479203,3.7,149
Wisconsin,2004,NO,226,5514026,4.1,155
Wisconsin,2005,NO,281,5546166,5.1,163
Wisconsin,2006,NO,352,5577655,6.3,174
Wisconsin,2007,NO,390,5610775,7,184
Wisconsin,2008,NO,380,5640996,6.7,196
Wisconsin,2009,NO,406,5669264,7.2,202
Wisconsin,2010,NO,420,5686986,7.4,210
Wisconsin,2011,NO,484,5711767,8.5,219
Wisconsin,2012,NO,496,5726398,8.7,217
Wisconsin,2013,NO,604,5742713,10.5,207
Wisconsin,2014,YES,640,5757564,11.1,196
Wyoming,2007,NO,25,534876,4.7,184
Wyoming,2008,NO,48,546043,8.8,196
Wyoming,2009,NO,34,559851,6.1,202
Wyoming,2010,NO,49,563626,8.7,210
Wyoming,2011,NO,47,568158,8.3,219
Wyoming,2012,NO,47,576412,8.2,217
Wyoming,2013,NO,52,582658,8.9,207
Wyoming,2014,NO,57,584153,9.8,196
